H,i,g,h, ,F,r,e,q,u,e,n,c,y, ,I,n,f,o,r,m,a,t,i,o,n, ,f,o,r, ,A,l,l, ,F,i,l,e,s
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,01_27_2014_bic Plate1,01_27_2014_bic Plate2,01_27_2014_bic Plate3,01_27_2014_bic Plate4,01_27_2014_bic Plate5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mfr-all-electrodes,0.269416942,1.069536424,1.369726776,0.978025794,1.628985507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mfr-AE,0.446770391,2.134878587,1.491564829,1.71717437,1.913165266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#AE/60,0.583333333,0.5,0.916666667,0.566666667,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BIC_CON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,01_28_2014_con Plate1,01_28_2014_con Plate2,01_28_2014_con Plate3,01_28_2014_con Plate4,01_28_2014_con Plate5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mfr-all-electrodes,0.238690476,0.565227021,0.792079208,0.439174705,1.081202186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mfr-AE,0.622638725,1.300025556,0.893330843,0.929375287,1.373491454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#AE/60,0.366666667,0.433333333,0.883333333,0.466666667,0.783333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,02_11_2014_per Plate1,02_11_2014_per Plate2,02_11_2014_per Plate3,02_11_2014_per Plate4,02_11_2014_per Plate5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
